Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Course Manager,Chrome 84.0.4147.105,,,2020-08-10 10:30:11,2020-08-10 10:36:23,6m - 12.353s,FAILED
,,,,,,,
Test Cases/Login/TC00 - Login,Chrome 84.0.4147.105,,,2020-08-10 10:30:11,2020-08-10 10:30:30,19.179s,PASSED
"openBrowser("""")",Chrome 84.0.4147.105,,,2020-08-10 10:30:12,2020-08-10 10:30:19,6.926s,PASSED
maximizeWindow(),Chrome 84.0.4147.105,,,2020-08-10 10:30:19,2020-08-10 10:30:21,2.295s,PASSED
"navigateToUrl(""http://demos1.stral.in/PGCTechnologyServices/site/login"")",Chrome 84.0.4147.105,,,2020-08-10 10:30:21,2020-08-10 10:30:28,6.818s,PASSED
"setText(findTestObject(""Object Repository/Login/input_User ID  Email Address_LoginFormusername""), ""jeffdy010203@gmail.com"")",Chrome 84.0.4147.105,,,2020-08-10 10:30:28,2020-08-10 10:30:29,1.150s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password_LoginFormpassword""), ""mpwtaF1AOAT+pVLiPGdxib800znL7mVX"")",Chrome 84.0.4147.105,,,2020-08-10 10:30:29,2020-08-10 10:30:30,0.773s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 84.0.4147.105,,,2020-08-10 10:30:30,2020-08-10 10:30:30,0.647s,PASSED
,,,,,,,
Test Cases/Course Manager/TC-006-CM-Duplicate button,Chrome 84.0.4147.105,,,2020-08-10 10:30:30,2020-08-10 10:31:12,41.404s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.105,,,2020-08-10 10:30:31,2020-08-10 10:30:41,9.649s,PASSED
"doubleClick(findTestObject(""Course Manager/div_Course Manager""))",Chrome 84.0.4147.105,,,2020-08-10 10:30:41,2020-08-10 10:30:43,2.678s,PASSED
"scrollToElement(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""), 0)",Chrome 84.0.4147.105,,,2020-08-10 10:30:43,2020-08-10 10:30:44,0.525s,PASSED
"click(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""))",Chrome 84.0.4147.105,,,2020-08-10 10:30:44,2020-08-10 10:30:44,0.423s,PASSED
"click(findTestObject(""Object Repository/Course Manager/button_Duplicate""))",Chrome 84.0.4147.105,,,2020-08-10 10:30:44,2020-08-10 10:30:52,7.155s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_Choose                              _822a55""), ""2"", true)",Chrome 84.0.4147.105,,,2020-08-10 10:30:52,2020-08-10 10:30:54,2.940s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_ChooseBlended Learning (OnlineFace-t_17004a""), ""175"", true)",Chrome 84.0.4147.105,,,2020-08-10 10:30:54,2020-08-10 10:30:56,1.686s,PASSED
"click(findTestObject(""Course Manager/a_Deadlines""))",Chrome 84.0.4147.105,,,2020-08-10 10:30:56,2020-08-10 10:30:57,0.998s,PASSED
