Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Course Manager,Chrome 84.0.4147.125,,,2020-08-11 16:57:39,2020-08-11 17:06:18,8m - 39.374s,PASSED
,,,,,,,
Test Cases/Login/TC00 - Login,Chrome 84.0.4147.125,,,2020-08-11 16:57:39,2020-08-11 16:58:04,24.098s,PASSED
"openBrowser("""")",Chrome 84.0.4147.125,,,2020-08-11 16:57:40,2020-08-11 16:57:45,5.372s,PASSED
maximizeWindow(),Chrome 84.0.4147.125,,,2020-08-11 16:57:45,2020-08-11 16:57:48,2.240s,PASSED
"navigateToUrl(""http://demos1.stral.in/PGCTechnologyServices/site/login"")",Chrome 84.0.4147.125,,,2020-08-11 16:57:48,2020-08-11 16:57:52,4.431s,PASSED
"setText(findTestObject(""Object Repository/Login/input_User ID  Email Address_LoginFormusername""), ""jeffdy010203@gmail.com"")",Chrome 84.0.4147.125,,,2020-08-11 16:57:52,2020-08-11 16:57:53,0.945s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password_LoginFormpassword""), ""mpwtaF1AOAT+pVLiPGdxib800znL7mVX"")",Chrome 84.0.4147.125,,,2020-08-11 16:57:53,2020-08-11 16:57:54,0.775s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 84.0.4147.125,,,2020-08-11 16:57:54,2020-08-11 16:57:54,0.677s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.125,,,2020-08-11 16:57:54,2020-08-11 16:58:01,6.856s,PASSED
"doubleClick(findTestObject(""Course Manager/div_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:01,2020-08-11 16:58:04,2.320s,PASSED
,,,,,,,
Test Cases/Course Manager/TC-006-CM-Duplicate button,Chrome 84.0.4147.125,,,2020-08-11 16:58:04,2020-08-11 16:58:33,29.640s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:04,2020-08-11 16:58:06,1.780s,PASSED
"doubleClick(findTestObject(""Course Manager/div_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:06,2020-08-11 16:58:08,2.255s,PASSED
"scrollToElement(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""), 0)",Chrome 84.0.4147.125,,,2020-08-11 16:58:08,2020-08-11 16:58:08,0.363s,PASSED
"click(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:08,2020-08-11 16:58:09,0.408s,PASSED
"click(findTestObject(""Object Repository/Course Manager/button_Duplicate""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:09,2020-08-11 16:58:14,4.954s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_Choose                              _822a55""), ""2"", true)",Chrome 84.0.4147.125,,,2020-08-11 16:58:14,2020-08-11 16:58:17,3.078s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_ChooseBlended Learning (OnlineFace-t_17004a""), ""175"", true)",Chrome 84.0.4147.125,,,2020-08-11 16:58:17,2020-08-11 16:58:19,1.867s,PASSED
"click(findTestObject(""Course Manager/a_Deadlines""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:19,2020-08-11 16:58:19,0.711s,PASSED
"click(findTestObject(""Course Manager/input_Evaluation Completion""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:19,2020-08-11 16:58:21,1.520s,PASSED
"click(findTestObject(""Course Manager/div_31 (August)""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:21,2020-08-11 16:58:21,0.691s,PASSED
"click(findTestObject(""Course Manager/a_Next""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:21,2020-08-11 16:58:22,0.847s,PASSED
"click(findTestObject(""Course Manager/a_Follow-up Questions""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:22,2020-08-11 16:58:24,1.536s,PASSED
"click(findTestObject(""Course Manager/a_Finish""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:24,2020-08-11 16:58:26,1.693s,PASSED
"click(findTestObject(""Course Manager/a_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:26,2020-08-11 16:58:33,7.635s,PASSED
,,,,,,,
Test Cases/Course Manager/TC-007-CM-Details Button,Chrome 84.0.4147.125,,,2020-08-11 16:58:33,2020-08-11 17:01:10,2m - 36.678s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:34,2020-08-11 16:58:34,0.461s,PASSED
"click(findTestObject(""Course Manager/a_MODIFY""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:34,2020-08-11 16:58:37,2.659s,PASSED
"click(findTestObject(""Course Manager/a_Deadlines""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:37,2020-08-11 16:58:39,2.437s,PASSED
"click(findTestObject(""Course Manager/input_Evaluation Completion""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:39,2020-08-11 16:58:41,1.494s,PASSED
"click(findTestObject(""Course Manager/div_31 (August)""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:41,2020-08-11 16:58:41,0.705s,PASSED
"click(findTestObject(""Course Manager/a_Follow-up Questions""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:41,2020-08-11 16:58:42,0.801s,PASSED
"click(findTestObject(""Course Manager/a_Finish""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:42,2020-08-11 16:58:44,1.469s,PASSED
"click(findTestObject(""Course Manager/a_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:44,2020-08-11 16:58:51,7.365s,PASSED
"scrollToElement(findTestObject(""Course Manager/button_DETAILS""), 0)",Chrome 84.0.4147.125,,,2020-08-11 16:58:51,2020-08-11 16:58:51,0.362s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:51,2020-08-11 16:58:52,0.401s,PASSED
"click(findTestObject(""Course Manager/a_DENY""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:52,2020-08-11 16:58:52,0.360s,PASSED
acceptAlert(),Chrome 84.0.4147.125,,,2020-08-11 16:58:52,2020-08-11 16:58:52,0.036s,PASSED
"setText(findTestObject(""Course Manager/textarea_Reason For Decline_reason""), ""This is a Test"")",Chrome 84.0.4147.125,,,2020-08-11 16:58:52,2020-08-11 16:58:53,0.927s,PASSED
"click(findTestObject(""Course Manager/button_Submit (Deny)""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:53,2020-08-11 16:58:54,0.485s,PASSED
"scrollToElement(findTestObject(""Course Manager/p_Declined""), 0)",Chrome 84.0.4147.125,,,2020-08-11 16:58:54,2020-08-11 16:58:55,1.068s,PASSED
"verifyElementVisible(findTestObject(""Course Manager/p_Declined""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:55,2020-08-11 16:58:56,1.535s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:56,2020-08-11 16:58:56,0.353s,PASSED
"click(findTestObject(""Course Manager/a_APPROVE""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:56,2020-08-11 16:58:57,0.396s,PASSED
acceptAlert(),Chrome 84.0.4147.125,,,2020-08-11 16:58:57,2020-08-11 16:58:57,0.019s,PASSED
"scrollToElement(findTestObject(""Course Manager/a_Tools""), 0)",Chrome 84.0.4147.125,,,2020-08-11 16:58:57,2020-08-11 16:58:58,0.999s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.125,,,2020-08-11 16:58:58,2020-08-11 17:00:33,1m - 35.447s,PASSED
"click(findTestObject(""Course Manager/div_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 17:00:33,2020-08-11 17:00:37,3.254s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.125,,,2020-08-11 17:00:37,2020-08-11 17:00:37,0.394s,PASSED
"click(findTestObject(""Course Manager/a_DUPLICATE""))",Chrome 84.0.4147.125,,,2020-08-11 17:00:37,2020-08-11 17:00:43,6.454s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_Choose                              _822a55""), ""2"", true)",Chrome 84.0.4147.125,,,2020-08-11 17:00:43,2020-08-11 17:00:47,3.698s,PASSED
"click(findTestObject(""Course Manager/a_Follow-up Questions""))",Chrome 84.0.4147.125,,,2020-08-11 17:00:47,2020-08-11 17:00:48,1.293s,PASSED
"click(findTestObject(""Course Manager/a_Finish""))",Chrome 84.0.4147.125,,,2020-08-11 17:00:48,2020-08-11 17:00:50,1.453s,PASSED
"click(findTestObject(""Course Manager/a_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 17:00:50,2020-08-11 17:00:57,7.486s,PASSED
"scrollToElement(findTestObject(""Course Manager/button_DETAILS""), 0)",Chrome 84.0.4147.125,,,2020-08-11 17:00:57,2020-08-11 17:00:58,0.307s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.125,,,2020-08-11 17:00:58,2020-08-11 17:00:58,0.461s,PASSED
"click(findTestObject(""Course Manager/a_ENROLLMENT""))",Chrome 84.0.4147.125,,,2020-08-11 17:00:58,2020-08-11 17:01:02,3.688s,PASSED
"click(findTestObject(""Course Manager/a_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:02,2020-08-11 17:01:04,2.191s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:04,2020-08-11 17:01:04,0.400s,PASSED
"click(findTestObject(""Course Manager/a_CANCEL""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:04,2020-08-11 17:01:05,0.397s,PASSED
acceptAlert(),Chrome 84.0.4147.125,,,2020-08-11 17:01:05,2020-08-11 17:01:05,0.018s,PASSED
"setText(findTestObject(""Course Manager/textarea_Reason For Cancel_reason_cancel""), ""This is a test"")",Chrome 84.0.4147.125,,,2020-08-11 17:01:05,2020-08-11 17:01:06,1.538s,PASSED
"click(findTestObject(""Course Manager/button_Submit_Cancel""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:06,2020-08-11 17:01:07,0.402s,PASSED
"scrollToElement(findTestObject(""Object Repository/Course Manager/p_Cancelled""), 0)",Chrome 84.0.4147.125,,,2020-08-11 17:01:07,2020-08-11 17:01:08,0.867s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Course Manager/p_Cancelled""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:08,2020-08-11 17:01:09,1.475s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:09,2020-08-11 17:01:09,0.331s,PASSED
"click(findTestObject(""Course Manager/a_DELETE""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:09,2020-08-11 17:01:10,0.399s,PASSED
acceptAlert(),Chrome 84.0.4147.125,,,2020-08-11 17:01:10,2020-08-11 17:01:10,0.013s,PASSED
,,,,,,,
Test Cases/Course Manager/TC-008-CM-Re Opening Ended course,Chrome 84.0.4147.125,,,2020-08-11 17:01:10,2020-08-11 17:01:47,36.792s,PASSED
"scrollToElement(findTestObject(""Course Manager/button_DETAILS""), 0)",Chrome 84.0.4147.125,,,2020-08-11 17:01:10,2020-08-11 17:01:11,0.298s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:11,2020-08-11 17:01:11,0.391s,PASSED
"click(findTestObject(""Course Manager/a_MODIFY""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:11,2020-08-11 17:01:14,2.724s,PASSED
"click(findTestObject(""Course Manager/a_Schedule""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:14,2020-08-11 17:01:16,2.572s,PASSED
"click(findTestObject(""Course Manager/input__generate_start_date""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:16,2020-08-11 17:01:18,1.475s,PASSED
"click(findTestObject(""Course Manager/div_29""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:18,2020-08-11 17:01:18,0.640s,PASSED
"click(findTestObject(""Course Manager/input__generate_end_date""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:18,2020-08-11 17:01:19,0.624s,PASSED
"click(findTestObject(""Course Manager/div_1""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:19,2020-08-11 17:01:20,0.676s,PASSED
"click(findTestObject(""Course Manager/button_Schedule""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:20,2020-08-11 17:01:20,0.696s,PASSED
"verifyElementVisible(findTestObject(""Course Manager/p_Updating course  Georgia TAPP Program 202_e049af""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:20,2020-08-11 17:01:22,1.905s,PASSED
"click(findTestObject(""Course Manager/a_Deadlines""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:22,2020-08-11 17:01:23,0.613s,PASSED
"if (findTestObject(""Course Manager/label_Follow-up Completion date cannot be e_fd7ed2""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:23,2020-08-11 17:01:24,0.951s,PASSED
"click(findTestObject(""Course Manager/button_Completion Date""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:24,2020-08-11 17:01:25,0.811s,PASSED
"click(findTestObject(""Course Manager/div_2""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:25,2020-08-11 17:01:25,0.572s,PASSED
"click(findTestObject(""Course Manager/a_Follow-up Questions""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:25,2020-08-11 17:01:26,0.857s,PASSED
"click(findTestObject(""Course Manager/a_Finish""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:26,2020-08-11 17:01:27,1.442s,PASSED
"verifyElementVisible(findTestObject(""Course Manager/ul_Course updated successfully""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:27,2020-08-11 17:01:33,5.172s,PASSED
"click(findTestObject(""Course Manager/a_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:33,2020-08-11 17:01:35,2.456s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:35,2020-08-11 17:01:37,1.972s,PASSED
"click(findTestObject(""Course Manager/div_Course Enrollments""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:37,2020-08-11 17:01:39,1.972s,PASSED
"click(findTestObject(""Course Manager/a_Open Roster""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:39,2020-08-11 17:01:41,2.373s,PASSED
"verifyElementVisible(findTestObject(""Course Manager/li_Roster""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:41,2020-08-11 17:01:42,0.416s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:42,2020-08-11 17:01:44,1.864s,PASSED
"click(findTestObject(""Course Manager/div_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:44,2020-08-11 17:01:46,2.288s,PASSED
"scrollToElement(findTestObject(""Course Manager/p_Open""), 0)",Chrome 84.0.4147.125,,,2020-08-11 17:01:46,2020-08-11 17:01:46,0.335s,PASSED
"verifyElementVisible(findTestObject(""Course Manager/p_Open""), STOP_ON_FAILURE)",Chrome 84.0.4147.125,,,2020-08-11 17:01:46,2020-08-11 17:01:47,0.313s,PASSED
,,,,,,,
Test Cases/Course Manager/TC-009-CM-Creating Course without payment,Chrome 84.0.4147.125,,,2020-08-11 17:01:47,2020-08-11 17:03:11,1m - 24.722s,PASSED
"click(findTestObject(""Course Manager/button_New""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:47,2020-08-11 17:01:50,2.805s,PASSED
"setText(findTestObject(""Course Manager/input__txtTitle""), ""Comp-101"")",Chrome 84.0.4147.125,,,2020-08-11 17:01:50,2020-08-11 17:01:51,0.843s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Course Manager/select_Choose                              _822a55""), ""2"", true)",Chrome 84.0.4147.125,,,2020-08-11 17:01:51,2020-08-11 17:01:52,1.116s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Course Manager/select_ChooseBlended Learning (OnlineFace-t_17004a""), ""175"", true)",Chrome 84.0.4147.125,,,2020-08-11 17:01:52,2020-08-11 17:01:54,1.704s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Course Manager/select_Choose                              _ed4c48""), ""11"", true)",Chrome 84.0.4147.125,,,2020-08-11 17:01:54,2020-08-11 17:01:55,1.248s,PASSED
"click(findTestObject(""Course Manager/a_Next""))",Chrome 84.0.4147.125,,,2020-08-11 17:01:55,2020-08-11 17:01:56,0.751s,PASSED
delay(2),Chrome 84.0.4147.125,,,2020-08-11 17:01:56,2020-08-11 17:01:58,2.033s,PASSED
"test.fileUpload.uploadFile(findTestObject(""Course Manager/input_BROWSE_test""), ""C:\Users\Kim\Downloads\depositphotos_180736330-stock-illustration-logo-quality-assurance-qa-testing.jpg"")",Chrome 84.0.4147.125,,,2020-08-11 17:01:58,2020-08-11 17:01:59,0.940s,PASSED
"setText(findTestObject(""Course Manager/textarea_Course Desciption""), ""This is a test description"")",Chrome 84.0.4147.125,,,2020-08-11 17:01:59,2020-08-11 17:02:00,1.639s,PASSED
"click(findTestObject(""Course Manager/a_Next""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:00,2020-08-11 17:02:01,0.880s,PASSED
delay(2),Chrome 84.0.4147.125,,,2020-08-11 17:02:01,2020-08-11 17:02:03,2.003s,PASSED
"click(findTestObject(""Course Manager/a_ Add Instructor""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:03,2020-08-11 17:02:04,0.469s,PASSED
"setText(findTestObject(""Course Manager/input__txtInstructor""), ""Lauro E"")",Chrome 84.0.4147.125,,,2020-08-11 17:02:04,2020-08-11 17:02:05,0.908s,PASSED
"click(findTestObject(""Course Manager/a_Lauro Eguia""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:05,2020-08-11 17:02:06,1.423s,PASSED
delay(3),Chrome 84.0.4147.125,,,2020-08-11 17:02:06,2020-08-11 17:02:09,3.003s,PASSED
"click(findTestObject(""Course Manager/button_Submit""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:09,2020-08-11 17:02:09,0.415s,PASSED
"click(findTestObject(""Course Manager/a_Next""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:09,2020-08-11 17:02:11,1.692s,PASSED
"click(findTestObject(""Course Manager/select_Training Center""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:11,2020-08-11 17:02:12,1.167s,PASSED
"click(findTestObject(""Course Manager/Train_center_Value""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:12,2020-08-11 17:02:13,0.382s,PASSED
"click(findTestObject(""Course Manager/select_Room""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:13,2020-08-11 17:02:14,1.149s,PASSED
"click(findTestObject(""Course Manager/Room_Value""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:14,2020-08-11 17:02:14,0.483s,PASSED
"click(findTestObject(""Course Manager/a_Next""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:14,2020-08-11 17:02:15,0.651s,PASSED
"click(findTestObject(""Course Manager/a_ Add Focus Area""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:15,2020-08-11 17:02:16,1.186s,PASSED
"click(findTestObject(""Course Manager/option_Certification""))",Chrome 84.0.4147.125,,,2020-08-11 17:02:16,2020-08-11 17:02:17,0.480s,PASSED
