Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Course Manager,Chrome 84.0.4147.125,,,2020-08-11 12:30:15,2020-08-11 12:36:22,6m - 7.001s,FAILED
,,,,,,,
Test Cases/Login/TC00 - Login,Chrome 84.0.4147.125,,,2020-08-11 12:30:16,2020-08-11 12:30:39,23.096s,FAILED
"openBrowser("""")",Chrome 84.0.4147.125,,,2020-08-11 12:30:16,2020-08-11 12:30:22,5.341s,PASSED
maximizeWindow(),Chrome 84.0.4147.125,,,2020-08-11 12:30:22,2020-08-11 12:30:24,2.169s,PASSED
"navigateToUrl(""http://demos1.stral.in/PGCTechnologyServices/site/login"")",Chrome 84.0.4147.125,,,2020-08-11 12:30:24,2020-08-11 12:30:31,7.304s,PASSED
"setText(findTestObject(""Object Repository/Login/input_User ID  Email Address_LoginFormusername""), ""jeffdy010203@gmail.com"")",Chrome 84.0.4147.125,,,2020-08-11 12:30:31,2020-08-11 12:30:32,0.951s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password_LoginFormpassword""), ""mpwtaF1AOAT+pVLiPGdxib800znL7mVX"")",Chrome 84.0.4147.125,,,2020-08-11 12:30:32,2020-08-11 12:30:33,0.730s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 84.0.4147.125,,,2020-08-11 12:30:33,2020-08-11 12:30:33,0.679s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.125,,,2020-08-11 12:30:33,2020-08-11 12:30:39,5.427s,FAILED
,,,,,,,
Test Cases/Course Manager/TC-006-CM-Duplicate button,Chrome 84.0.4147.125,,,2020-08-11 12:30:39,2020-08-11 12:31:18,38.808s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.125,,,2020-08-11 12:30:39,2020-08-11 12:30:43,3.782s,PASSED
"doubleClick(findTestObject(""Course Manager/div_Course Manager""))",Chrome 84.0.4147.125,,,2020-08-11 12:30:43,2020-08-11 12:30:46,2.730s,PASSED
"scrollToElement(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""), 0)",Chrome 84.0.4147.125,,,2020-08-11 12:30:46,2020-08-11 12:30:46,0.414s,PASSED
"click(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""))",Chrome 84.0.4147.125,,,2020-08-11 12:30:46,2020-08-11 12:30:47,0.415s,PASSED
"click(findTestObject(""Object Repository/Course Manager/button_Duplicate""))",Chrome 84.0.4147.125,,,2020-08-11 12:30:47,2020-08-11 12:30:57,9.955s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_Choose                              _822a55""), ""2"", true)",Chrome 84.0.4147.125,,,2020-08-11 12:30:57,2020-08-11 12:31:00,3.201s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_ChooseBlended Learning (OnlineFace-t_17004a""), ""175"", true)",Chrome 84.0.4147.125,,,2020-08-11 12:31:00,2020-08-11 12:31:02,1.953s,PASSED
