Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Course Manager,Chrome 84.0.4147.105,,,2020-08-10 12:06:42,2020-08-10 12:11:08,4m - 26.082s,FAILED
,,,,,,,
Test Cases/Login/TC00 - Login,Chrome 84.0.4147.105,,,2020-08-10 12:06:42,2020-08-10 12:06:58,15.866s,PASSED
"openBrowser("""")",Chrome 84.0.4147.105,,,2020-08-10 12:06:43,2020-08-10 12:06:49,5.932s,PASSED
maximizeWindow(),Chrome 84.0.4147.105,,,2020-08-10 12:06:49,2020-08-10 12:06:51,2.177s,PASSED
"navigateToUrl(""http://demos1.stral.in/PGCTechnologyServices/site/login"")",Chrome 84.0.4147.105,,,2020-08-10 12:06:51,2020-08-10 12:06:56,4.727s,PASSED
"setText(findTestObject(""Object Repository/Login/input_User ID  Email Address_LoginFormusername""), ""jeffdy010203@gmail.com"")",Chrome 84.0.4147.105,,,2020-08-10 12:06:56,2020-08-10 12:06:57,1.005s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password_LoginFormpassword""), ""mpwtaF1AOAT+pVLiPGdxib800znL7mVX"")",Chrome 84.0.4147.105,,,2020-08-10 12:06:57,2020-08-10 12:06:57,0.744s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 84.0.4147.105,,,2020-08-10 12:06:57,2020-08-10 12:06:58,0.680s,PASSED
,,,,,,,
Test Cases/Course Manager/TC-006-CM-Duplicate button,Chrome 84.0.4147.105,,,2020-08-10 12:06:58,2020-08-10 12:07:50,51.566s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.105,,,2020-08-10 12:06:59,2020-08-10 12:07:11,12.165s,PASSED
"doubleClick(findTestObject(""Course Manager/div_Course Manager""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:11,2020-08-10 12:07:13,1.920s,PASSED
"scrollToElement(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""), 0)",Chrome 84.0.4147.105,,,2020-08-10 12:07:13,2020-08-10 12:07:13,0.539s,PASSED
"click(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:13,2020-08-10 12:07:14,0.459s,PASSED
"click(findTestObject(""Object Repository/Course Manager/button_Duplicate""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:14,2020-08-10 12:07:31,17.547s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_Choose                              _822a55""), ""2"", true)",Chrome 84.0.4147.105,,,2020-08-10 12:07:31,2020-08-10 12:07:34,2.781s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_ChooseBlended Learning (OnlineFace-t_17004a""), ""175"", true)",Chrome 84.0.4147.105,,,2020-08-10 12:07:34,2020-08-10 12:07:36,1.603s,PASSED
"click(findTestObject(""Course Manager/a_Deadlines""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:36,2020-08-10 12:07:36,0.786s,PASSED
"click(findTestObject(""Course Manager/input_Evaluation Completion""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:36,2020-08-10 12:07:38,1.469s,PASSED
"click(findTestObject(""Course Manager/div_31 (August)""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:38,2020-08-10 12:07:38,0.627s,PASSED
"click(findTestObject(""Course Manager/a_Next""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:38,2020-08-10 12:07:39,0.863s,PASSED
"click(findTestObject(""Course Manager/a_Follow-up Questions""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:39,2020-08-10 12:07:41,1.539s,PASSED
"click(findTestObject(""Course Manager/a_Finish""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:41,2020-08-10 12:07:42,1.377s,PASSED
"click(findTestObject(""Course Manager/a_Course Manager""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:42,2020-08-10 12:07:50,7.470s,PASSED
,,,,,,,
Test Cases/Course Manager/TC-007-CM-Details Button,Chrome 84.0.4147.105,,,2020-08-10 12:07:50,2020-08-10 12:08:46,56.628s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:50,2020-08-10 12:07:51,0.483s,PASSED
"click(findTestObject(""Course Manager/a_MODIFY""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:51,2020-08-10 12:07:54,3.042s,PASSED
"click(findTestObject(""Course Manager/a_Deadlines""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:54,2020-08-10 12:07:56,2.298s,PASSED
"click(findTestObject(""Course Manager/input_Evaluation Completion""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:56,2020-08-10 12:07:57,1.452s,PASSED
"click(findTestObject(""Course Manager/div_31 (August)""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:57,2020-08-10 12:07:58,0.746s,PASSED
"click(findTestObject(""Course Manager/a_Follow-up Questions""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:58,2020-08-10 12:07:59,0.789s,PASSED
"click(findTestObject(""Course Manager/a_Finish""))",Chrome 84.0.4147.105,,,2020-08-10 12:07:59,2020-08-10 12:08:00,1.441s,PASSED
"click(findTestObject(""Course Manager/a_Course Manager""))",Chrome 84.0.4147.105,,,2020-08-10 12:08:00,2020-08-10 12:08:07,6.458s,PASSED
"scrollToElement(findTestObject(""Course Manager/button_DETAILS""), 0)",Chrome 84.0.4147.105,,,2020-08-10 12:08:07,2020-08-10 12:08:07,0.349s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.105,,,2020-08-10 12:08:07,2020-08-10 12:08:08,0.444s,PASSED
"click(findTestObject(""Course Manager/a_DENY""))",Chrome 84.0.4147.105,,,2020-08-10 12:08:08,2020-08-10 12:08:08,0.403s,PASSED
acceptAlert(),Chrome 84.0.4147.105,,,2020-08-10 12:08:08,2020-08-10 12:08:08,0.034s,PASSED
"setText(findTestObject(""Course Manager/textarea_Reason For Decline_reason""), ""This is a Test"")",Chrome 84.0.4147.105,,,2020-08-10 12:08:08,2020-08-10 12:08:09,0.962s,PASSED
"click(findTestObject(""Course Manager/button_Submit (Deny)""))",Chrome 84.0.4147.105,,,2020-08-10 12:08:09,2020-08-10 12:08:09,0.499s,PASSED
"scrollToElement(findTestObject(""Course Manager/p_Declined""), 0)",Chrome 84.0.4147.105,,,2020-08-10 12:08:09,2020-08-10 12:08:10,0.908s,PASSED
"verifyElementVisible(findTestObject(""Course Manager/p_Declined""))",Chrome 84.0.4147.105,,,2020-08-10 12:08:10,2020-08-10 12:08:12,1.570s,PASSED
"click(findTestObject(""Course Manager/button_DETAILS""))",Chrome 84.0.4147.105,,,2020-08-10 12:08:12,2020-08-10 12:08:12,0.415s,PASSED
"click(findTestObject(""Course Manager/a_APPROVE""))",Chrome 84.0.4147.105,,,2020-08-10 12:08:12,2020-08-10 12:08:13,0.396s,PASSED
