Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Course Manager,Chrome 84.0.4147.105,,,2020-08-04 13:26:31,2020-08-04 13:32:25,5m - 53.394s,FAILED
,,,,,,,
Test Cases/Login/TC00 - Login,Chrome 84.0.4147.105,,,2020-08-04 13:26:32,2020-08-04 13:26:50,18.676s,PASSED
"openBrowser("""")",Chrome 84.0.4147.105,,,2020-08-04 13:26:32,2020-08-04 13:26:37,5.024s,PASSED
maximizeWindow(),Chrome 84.0.4147.105,,,2020-08-04 13:26:37,2020-08-04 13:26:39,2.224s,PASSED
"navigateToUrl(""http://demos1.stral.in/PGCTechnologyServices/site/login"")",Chrome 84.0.4147.105,,,2020-08-04 13:26:39,2020-08-04 13:26:48,8.704s,PASSED
"setText(findTestObject(""Object Repository/Login/input_User ID  Email Address_LoginFormusername""), ""jeffdy010203@gmail.com"")",Chrome 84.0.4147.105,,,2020-08-04 13:26:48,2020-08-04 13:26:49,0.916s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/input_Password_LoginFormpassword""), ""mpwtaF1AOAT+pVLiPGdxib800znL7mVX"")",Chrome 84.0.4147.105,,,2020-08-04 13:26:49,2020-08-04 13:26:50,0.596s,PASSED
"click(findTestObject(""Object Repository/Login/button_Login""))",Chrome 84.0.4147.105,,,2020-08-04 13:26:50,2020-08-04 13:26:50,0.702s,PASSED
,,,,,,,
Test Cases/Course Manager/TC-006-CM-Duplicate button,Chrome 84.0.4147.105,,,2020-08-04 13:26:50,2020-08-04 13:27:32,42.170s,PASSED
"click(findTestObject(""Course Manager/a_Tools""))",Chrome 84.0.4147.105,,,2020-08-04 13:26:51,2020-08-04 13:27:03,12.459s,PASSED
"doubleClick(findTestObject(""Course Manager/div_Course Manager""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:03,2020-08-04 13:27:05,2.177s,PASSED
"scrollToElement(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""), 0)",Chrome 84.0.4147.105,,,2020-08-04 13:27:05,2020-08-04 13:27:06,0.509s,PASSED
"click(findTestObject(""Course Manager/input_Duplicate_classes (EXACT)""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:06,2020-08-04 13:27:06,0.431s,PASSED
"click(findTestObject(""Object Repository/Course Manager/button_Duplicate""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:06,2020-08-04 13:27:12,6.164s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_Choose                              _822a55""), ""2"", true)",Chrome 84.0.4147.105,,,2020-08-04 13:27:12,2020-08-04 13:27:15,3.071s,PASSED
"selectOptionByValue(findTestObject(""Course Manager/select_ChooseBlended Learning (OnlineFace-t_17004a""), ""175"", true)",Chrome 84.0.4147.105,,,2020-08-04 13:27:15,2020-08-04 13:27:17,1.714s,PASSED
"click(findTestObject(""Course Manager/a_Deadlines""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:17,2020-08-04 13:27:18,0.773s,PASSED
"click(findTestObject(""Course Manager/input_Evaluation Completion""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:18,2020-08-04 13:27:20,1.973s,PASSED
"click(findTestObject(""Course Manager/div_31 (August)""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:20,2020-08-04 13:27:21,0.846s,PASSED
"click(findTestObject(""Course Manager/a_Next""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:21,2020-08-04 13:27:22,0.917s,PASSED
"click(findTestObject(""Course Manager/a_Follow-up Questions""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:22,2020-08-04 13:27:23,1.487s,PASSED
"click(findTestObject(""Course Manager/a_Finish""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:23,2020-08-04 13:27:25,1.483s,PASSED
"click(findTestObject(""Course Manager/a_Course Manager""))",Chrome 84.0.4147.105,,,2020-08-04 13:27:25,2020-08-04 13:27:32,7.808s,PASSED
,,,,,,,
